model,init,TOTUSJH,TOTPOT,TOTUSJZ,ABSNJZH,SAVNCPP,USFLUX,MEANPOT,R_VALUE,MEANSHR,MEANGAM,MEANGBT,MEANGBZ,MEANGBH,MEANJZD,MEANJZH,MEANALP
MFR,2_1000_20,0.08216804553980894,0.10252034095546303,0.05095003548827691,0.09439886970106592,0.06317529839886998,0.04419086248515735,0.08712781551215232,0.21482591687116526,0.02690236053766505,0.02518673455888047,0.04741551753730619,0.03730298268737599,0.043579420954920775,0.026450595556998094,0.02715793246051128,0.02664727075438245
MFR,16_1000_20,0.08349076217743928,0.09872571272679594,0.04967439104458965,0.09996126263678719,0.060631089499060084,0.046522419624692064,0.0848311140995079,0.21367527585964155,0.027129935803210305,0.025574658846303368,0.048767283852552495,0.037733488758166914,0.043010160938344845,0.026631202568359238,0.026968209793083696,0.026673031771465485
MFR,32_1000_None,0.08500406017354512,0.09903789996083599,0.049890136108813744,0.1066613298214964,0.0577515968409586,0.045247221092531105,0.08086260416748613,0.20620010721811186,0.028349474095461447,0.026521693225722794,0.04838354560040462,0.03762958605201203,0.04445316279360599,0.028072189608855214,0.028221976471832447,0.027713416768326372
MFR,16_1000_None,0.08125795619366721,0.09866364419764233,0.050700580672069305,0.09836331453022586,0.06072477113919795,0.04697573342950728,0.08362293604625207,0.21022257897652102,0.02815256203728014,0.026855672836673315,0.05022995064252517,0.03735857057616353,0.04322093861485304,0.02807402902399867,0.02801628272744562,0.027560478355977528
MFR,2_1000_None,0.08003102643387436,0.09961446549931526,0.052495219290646725,0.09337491242286482,0.06256653267743767,0.04527884236663728,0.08534695564089796,0.21232482712361256,0.028537271796566586,0.02660416465033709,0.04675694817187121,0.03877165080548335,0.044115784881555084,0.028086257988321043,0.028342208757202024,0.027752931493376924
MFR,4_1000_None,0.09228826938563281,0.09528060355248073,0.04894173727264374,0.1028338292313412,0.05908781860404497,0.04561355492089456,0.08225338769944186,0.20321000699999345,0.02830259331063862,0.026567145971655576,0.05107563801943958,0.038135226796856415,0.04244453803333058,0.028044733751380748,0.028319021302454308,0.027601895147770946
SHARP,2_50_5,0.15011652560103328,0.20600473763255459,0.21620423088252122,0.04046502083303359,0.03275264745117082,0.03805631220203547,0.035471428006701625,0.21869202790346115,0.01933330432176888,0.01420550351783173,0.011483740780467084,0.005891409613219061,0.004773240785279709,0.0014295023228415085,0.0025574774459498437,0.002562890700130516
SHARP,2_50_10,0.13152537486860372,0.1771541758304398,0.18028486591613388,0.043485458828394205,0.04025409182620035,0.04584437559342287,0.04230182684674116,0.1940049751041121,0.02962743488056116,0.0234892358275627,0.01940525570516596,0.016674226098255817,0.016163645613997146,0.01306468295841087,0.013364563746602222,0.013355810355396047
SHARP,2_100_5,0.1466630437248973,0.15066361511884885,0.2104642296806702,0.042598856623338,0.02650375169390295,0.04756587877715865,0.028768750218321905,0.2929256555546963,0.019283393559995782,0.008545960620573967,0.008498167868719562,0.005938628374800727,0.004807791727679298,0.0013971314635529738,0.0026303727781269233,0.0027447722147167586
SHARP,4_50_5,0.1652329346660086,0.23258787205597614,0.14280686601254686,0.03930429386542164,0.052205885858254523,0.0768314358011175,0.03189024983653042,0.20910217186384916,0.00806474787060888,0.015701241925356126,0.00869478638332758,0.006464807281918516,0.0042847791171893804,0.0020836257241176066,0.0021460748581245987,0.0025982268796524714
SHARP,32_50_5,0.11671350323963725,0.2618413810754018,0.12198983935221748,0.04338636635415036,0.06648772139507497,0.038712680086867235,0.033278510841080015,0.27230497538561876,0.018067358406906733,0.0033899899828912852,0.004569969098329913,0.008077147336909217,0.004109142193702552,0.0015374004086987094,0.0025075013443889333,0.0030265134981247296
SHARP,8_50_5,0.16681368950975742,0.21471165211565293,0.11496554923775162,0.04345871417212025,0.061738884214786585,0.027284952061805277,0.0356848442885629,0.2761735807004344,0.0200641478045644,0.014103394160962377,0.005783302009819174,0.006863860823686662,0.005018809731376072,0.0014203589934743267,0.0023996152826280827,0.003514644892617471
SHARP,16_50_5,0.10305702765178136,0.16336276590092136,0.14702822698912035,0.0212850323876117,0.08009528906642986,0.06552771554574516,0.03352708192415664,0.3263030457009167,0.03443621471772284,0.003508588836402817,0.004495439376666686,0.005993082611296108,0.004707799925366546,0.0014375892642623331,0.0025369338948020488,0.0026981662067974447
